,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,service,landuse,width,access,bridge,area,ref,junction
0,5433798993,5433798992,0,563908854,False,2.057,"LINESTRING (103.9097271 1.4062663, 103.9097328 1.4062839)",,,,,,,,,,,,,
1,5433798993,5433798992,1,563908858,False,2.057,"LINESTRING (103.9097271 1.4062663, 103.9097328 1.4062839)",,,,,,,,,,,,,
2,5433798993,5433798994,0,563908854,False,1.055,"LINESTRING (103.9097271 1.4062663, 103.9097181 1.4062693)",,,,,,,,,,,,,
3,5433798993,5433798994,1,563908858,False,1.055,"LINESTRING (103.9097271 1.4062663, 103.9097181 1.4062693)",,,,,,,,,,,,,
4,5433798994,5433798993,0,563908854,False,1.055,"LINESTRING (103.9097181 1.4062693, 103.9097271 1.4062663)",,,,,,,,,,,,,
5,5433798994,5433798993,1,563908858,False,1.055,"LINESTRING (103.9097181 1.4062693, 103.9097271 1.4062663)",,,,,,,,,,,,,
6,5433798994,5433798995,0,563908854,False,2.644,"LINESTRING (103.9097181 1.4062693, 103.9097107 1.4062467)",,,,,,,,,,,,,
7,5433798994,5433798995,1,563908858,False,2.644,"LINESTRING (103.9097181 1.4062693, 103.9097107 1.4062467)",,,,,,,,,,,,,
8,5433798995,5433798994,0,563908854,False,2.644,"LINESTRING (103.9097107 1.4062467, 103.9097181 1.4062693)",,,,,,,,,,,,,
9,5433798995,5433798994,1,563908858,False,2.644,"LINESTRING (103.9097107 1.4062467, 103.9097181 1.4062693)",,,,,,,,,,,,,
10,5433798995,5433798996,0,563908854,False,1.125,"LINESTRING (103.9097107 1.4062467, 103.9097011 1.4062499)",,,,,,,,,,,,,
11,5433798995,5433798996,1,563908858,False,1.125,"LINESTRING (103.9097107 1.4062467, 103.9097011 1.4062499)",,,,,,,,,,,,,
12,5433799000,5433798999,0,563908854,False,1.814,"LINESTRING (103.9097335 1.4061828, 103.909718 1.4061879)",,,,,,,,,,,,,
13,5433799000,5433798999,1,563908858,False,1.814,"LINESTRING (103.9097335 1.4061828, 103.909718 1.4061879)",,,,,,,,,,,,,
14,5433799000,5433797975,0,563908854,False,3.917,"LINESTRING (103.9097335 1.4061828, 103.9097226 1.4061493)",,,,,,,,,,,,,
15,5433799000,5433797975,1,563908858,False,3.917,"LINESTRING (103.9097335 1.4061828, 103.9097226 1.4061493)",,,,,,,,,,,,,
