,u,v,key,osmid,lanes,highway,oneway,length,geometry,service,name,maxspeed,width,bridge,tunnel,access,ref,junction
0,5256544257,5256544263,0,543768257,2,service,False,38.9,"LINESTRING (103.900046 1.3955551, 103.9000119 1.3955701, 103.8999971 1.3955767, 103.8998233 1.3956534, 103.8997543 1.3957345)",,,,,,,,,
1,5256544257,6618932812,0,543768257,2,service,False,42.123000000000005,"LINESTRING (103.900046 1.3955551, 103.9000648 1.3955468, 103.9003926 1.395402)",,,,,,,,,
2,5917596507,5917596506,0,626827260,2,service,False,16.201,"LINESTRING (103.8922402 1.3863714, 103.892227 1.3865165)",parking_aisle,,,,,,,,
3,5917596507,5045713350,0,"[626827258, 626830363, 626830364, 626825278]",2,service,False,124.82500000000002,"LINESTRING (103.8922402 1.3863714, 103.8920719 1.3863604, 103.8919284 1.3863577, 103.8918164 1.3863484, 103.8916126 1.386335, 103.8915723 1.3863162, 103.8914959 1.3862297, 103.8913966 1.3860118, 103.8913775 1.3859191)",parking_aisle,,,,,,,,
4,5917596507,5917576344,0,"[626827259, 626825276]",2,service,False,30.398999999999997,"LINESTRING (103.8922402 1.3863714, 103.8923527 1.3863736, 103.8925136 1.3863774)",parking_aisle,,,,,,,,
5,5256544263,5256544265,0,543768258,2,service,False,10.235,"LINESTRING (103.8997543 1.3957345, 103.8996658 1.3957599)",,,,,,,,,
6,5256544263,5256544257,0,543768257,2,service,False,38.9,"LINESTRING (103.8997543 1.3957345, 103.8998233 1.3956534, 103.8999971 1.3955767, 103.9000119 1.3955701, 103.900046 1.3955551)",,,,,,,,,
7,5256544263,5256544257,1,693032928,1,service,True,52.912,"LINESTRING (103.8997543 1.3957345, 103.8998455 1.3957506, 103.9000064 1.3957519, 103.9000319 1.3957412, 103.9000534 1.395717, 103.900056 1.3956862, 103.900046 1.3955551)",,,,,,,,,
8,5256544264,5256544265,0,543768259,2,service,False,59.79,"LINESTRING (103.8996671 1.3962976, 103.8996658 1.3957599)",parking_aisle,,,,,,,,
9,5256544265,5256544263,0,543768258,2,service,False,10.235,"LINESTRING (103.8996658 1.3957599, 103.8997543 1.3957345)",,,,,,,,,
10,5256544265,5256544264,0,543768259,2,service,False,59.79,"LINESTRING (103.8996658 1.3957599, 103.8996671 1.3962976)",parking_aisle,,,,,,,,
11,5256544265,5256544266,0,543768260,2,service,False,30.506,"LINESTRING (103.8996658 1.3957599, 103.8994014 1.3958334)",,,,,,,,,
12,5256544266,5256544265,0,543768260,2,service,False,30.506,"LINESTRING (103.8994014 1.3958334, 103.8996658 1.3957599)",,,,,,,,,
13,5256544266,370097261,0,640185545,2,residential,False,20.233,"LINESTRING (103.8994014 1.3958334, 103.8993373 1.3956631)",,Compassvale Crescent,40,,,,,,
14,5256544266,242967037,0,"[626832746, 32790133]","['3', '2']",residential,False,172.757,"LINESTRING (103.8994014 1.3958334, 103.8994191 1.3958853, 103.8994452 1.396017, 103.8994628 1.3961712, 103.8994352 1.396354, 103.8993588 1.3965334, 103.8992191 1.3967208, 103.8990972 1.396839, 103.8990288 1.3968818, 103.8987087 1.3970116)",,Compassvale Crescent,40,,,,,,
15,5256544267,6953315507,0,543768261,,service,False,45.41,"LINESTRING (103.8983425 1.3971554, 103.8981474 1.3967966)",,,,,,,,,
16,5256544267,242967037,0,626818803,2,residential,False,43.778000000000006,"LINESTRING (103.8983425 1.3971554, 103.8985232 1.3970752, 103.8987087 1.3970116)",,Compassvale Crescent,50,,,,,,
17,5256544267,5917565366,0,626829117,2,residential,False,10.911,"LINESTRING (103.8983425 1.3971554, 103.8982987 1.397169, 103.8982503 1.3971888)",,Compassvale Crescent,50,,,,,,
18,5256544268,6953315507,0,543768261,,service,False,8.682,"LINESTRING (103.8981101 1.396728, 103.8981474 1.3967966)",,,,,,,,,
19,6953295881,6953295882,0,742775916,,footway,False,8.229,"LINESTRING (103.8967043 1.3943716, 103.8967465 1.3944324)",,,,,,,,,
20,6953295881,6953315440,0,742775932,,footway,False,28.048,"LINESTRING (103.8967043 1.3943716, 103.8967514 1.3943661, 103.8967884 1.3943465, 103.89682 1.3943052, 103.8968494 1.3942322, 103.896847 1.3942)",,,,,,,,,
21,6953295881,6953315662,0,742775932,,footway,False,14.516,"LINESTRING (103.8967043 1.3943716, 103.8966109 1.3943847, 103.8965766 1.3943965)",,,,,,,,,
22,6953295882,6953295881,0,742775916,,footway,False,8.229,"LINESTRING (103.8967465 1.3944324, 103.8967043 1.3943716)",,,,,,,,,
