,y,x,osmid,highway,ref,geometry
5256544257,1.3955551,103.900046,5256544257,,,POINT (103.900046 1.3955551)
5917596507,1.3863714,103.8922402,5917596507,,,POINT (103.8922402 1.3863714)
5256544263,1.3957345,103.8997543,5256544263,,,POINT (103.8997543 1.3957345)
5256544264,1.3962976,103.8996671,5256544264,,,POINT (103.8996671 1.3962976)
5256544265,1.3957599,103.8996658,5256544265,,,POINT (103.8996658 1.3957599)
5256544266,1.3958334,103.8994014,5256544266,,,POINT (103.8994014 1.3958334)
5256544267,1.3971554,103.8983425,5256544267,,,POINT (103.8983425 1.3971554)
5256544268,1.396728,103.8981101,5256544268,,,POINT (103.8981101 1.396728)
6953295881,1.3943716,103.8967043,6953295881,,,POINT (103.8967043 1.3943716)
6953295882,1.3944324,103.8967465,6953295882,,,POINT (103.8967465 1.3944324)
5889966094,1.3871291,103.889354,5889966094,,,POINT (103.889354 1.3871291)
5889966096,1.3872107,103.8887977,5889966096,,,POINT (103.8887977 1.3872107)
5256544273,1.3966043,103.8966651,5256544273,,,POINT (103.8966651 1.3966043)
5556264977,1.4167984,103.9045144,5556264977,,,POINT (103.9045144 1.4167984)
5556264978,1.4162844,103.9048176,5556264978,,,POINT (103.9048176 1.4162844)
5256544274,1.39589,103.8970385,5256544274,,,POINT (103.8970385 1.39589)
5256544282,1.3972387,103.8976112,5256544282,,,POINT (103.8976112 1.3972387)
5928411168,1.3892548,103.8936,5928411168,,,POINT (103.8936 1.3892548)
5256544290,1.396797,103.8967415,5256544290,,,POINT (103.8967415 1.396797)
5256544291,1.3968623,103.8966029,5256544291,,,POINT (103.8966029 1.3968623)
4042301480,1.41612,103.9171803,4042301480,,,POINT (103.9171803 1.41612)
5217050665,1.3831516,103.9207826,5217050665,,,POINT (103.9207826 1.3831516)
4042301481,1.4161608,103.9162678,4042301481,,,POINT (103.9162678 1.4161608)
375767081,1.3908289,103.8941221,375767081,traffic_signals,,POINT (103.8941221 1.3908289)
4042301485,1.417005,103.9165279,4042301485,,,POINT (103.9165279 1.417005)
5256544301,1.3927458,103.8870558,5256544301,,,POINT (103.8870558 1.3927458)
242958383,1.3885107,103.9060275,242958383,traffic_signals,,POINT (103.9060275 1.3885107)
5256544303,1.3862913,103.8887414,5256544303,,,POINT (103.8887414 1.3862913)
5256544302,1.3864414,103.8888368,5256544302,,,POINT (103.8888368 1.3864414)
5217050674,1.3816366,103.9197662,5217050674,,,POINT (103.9197662 1.3816366)
242958389,1.3893131,103.906717,242958389,,,POINT (103.906717 1.3893131)
242966584,1.3969096,103.8909003,242966584,traffic_signals,,POINT (103.8909003 1.3969096)
5238915129,1.3933387,103.8874146,5238915129,,,POINT (103.8874146 1.3933387)
5917409344,1.3973521,103.8979082,5917409344,,,POINT (103.8979082 1.3973521)
5917409345,1.3972964,103.8978915,5917409345,,,POINT (103.8978915 1.3972964)
6585360450,1.3820737,103.9304475,6585360450,,,POINT (103.9304475 1.3820737)
4004978753,1.4010648,103.8994418,4004978753,,,POINT (103.8994418 1.4010648)
5917409346,1.3968483,103.8966389,5917409346,,,POINT (103.8966389 1.3968483)
6585360453,1.3821833,103.9304241,6585360453,,,POINT (103.9304241 1.3821833)
4004978752,1.4007331,103.8992839,4004978752,,,POINT (103.8992839 1.4007331)
4004978754,1.4012428,103.8995209,4004978754,,,POINT (103.8995209 1.4012428)
5917409351,1.3972589,103.8969545,5917409351,,,POINT (103.8969545 1.3972589)
4004978755,1.4012516,103.8994885,4004978755,,,POINT (103.8994885 1.4012516)
4004978756,1.4013117,103.8999318,4004978756,,,POINT (103.8999318 1.4013117)
373096523,1.3953907,103.9168727,373096523,traffic_signals,,POINT (103.9168727 1.3953907)
5917409350,1.3972377,103.8969228,5917409350,,,POINT (103.8969228 1.3972377)
3600777293,1.4009044,103.896421,3600777293,,,POINT (103.896421 1.4009044)
5917409357,1.3956916,103.8962839,5917409357,,,POINT (103.8962839 1.3956916)
373096527,1.3955063,103.9167131,373096527,traffic_signals,,POINT (103.9167131 1.3955063)
6372073551,1.4174011,103.8932907,6372073551,,,POINT (103.8932907 1.4174011)
373096533,1.3982171,103.9129423,373096533,traffic_signals,,POINT (103.9129423 1.3982171)
5917941846,1.3961927,103.8964016,5917941846,,,POINT (103.8964016 1.3961927)
5917941847,1.3962132,103.8963547,5917941847,,,POINT (103.8963547 1.3962132)
5917941848,1.3962609,103.8962549,5917941848,,,POINT (103.8962549 1.3962609)
3063324776,1.3947905,103.899409,3063324776,,,POINT (103.899409 1.3947905)
375767150,1.3909121,103.8941561,375767150,traffic_signals,,POINT (103.8941561 1.3909121)
5681062000,1.4038968,103.8924272,5681062000,,,POINT (103.8924272 1.4038968)
5681062005,1.395773,103.8809557,5681062005,,,POINT (103.8809557 1.395773)
5278670966,1.3955675,103.8907919,5278670966,,,POINT (103.8907919 1.3955675)
5681062006,1.3968771,103.8904087,5681062006,,,POINT (103.8904087 1.3968771)
5919694968,1.3966341,103.8960944,5919694968,,,POINT (103.8960944 1.3966341)
6791757944,1.3935089,103.9001327,6791757944,,,POINT (103.9001327 1.3935089)
5278670968,1.3954043,103.8907455,5278670968,crossing,,POINT (103.8907455 1.3954043)
5919694971,1.3965138,103.8963487,5919694971,,,POINT (103.8963487 1.3965138)
6791757945,1.3933322,103.9000407,6791757945,,,POINT (103.9000407 1.3933322)
5278670967,1.3954277,103.8906675,5278670967,crossing,,POINT (103.8906675 1.3954277)
5681062011,1.4017279,103.8923567,5681062011,,,POINT (103.8923567 1.4017279)
5681062015,1.3945552,103.8937563,5681062015,,,POINT (103.8937563 1.3945552)
5278670971,1.3914157,103.8929382,5278670971,crossing,,POINT (103.8929382 1.3914157)
5278670972,1.3913727,103.8930554,5278670972,crossing,,POINT (103.8930554 1.3913727)
5278670977,1.3914533,103.8928355,5278670977,,,POINT (103.8928355 1.3914533)
5919694979,1.3960702,103.8961825,5919694979,,,POINT (103.8961825 1.3960702)
5278670979,1.391371,103.8931959,5278670979,crossing,,POINT (103.8931959 1.391371)
5278670975,1.3912756,103.892781,5278670975,,,POINT (103.892781 1.3912756)
5278670978,1.3913538,103.8931071,5278670978,,,POINT (103.8931071 1.3913538)
5278670974,1.3911966,103.8930494,5278670974,crossing,,POINT (103.8930494 1.3911966)
5278670976,1.3911767,103.8930421,5278670976,,,POINT (103.8930421 1.3911767)
4322943113,1.3999102,103.9105697,4322943113,,,POINT (103.9105697 1.3999102)
5278670987,1.3933394,103.893505,5278670987,crossing,,POINT (103.893505 1.3933394)
5278670988,1.3934508,103.8935428,5278670988,crossing,,POINT (103.8935428 1.3934508)
5278670989,1.3934872,103.8936431,5278670989,crossing,,POINT (103.8936431 1.3934872)
5278670990,1.3934465,103.893763,5278670990,crossing,,POINT (103.893763 1.3934465)
5278670991,1.3933639,103.893803,5278670991,crossing,,POINT (103.893803 1.3933639)
5278670992,1.3932541,103.8937658,5278670992,crossing,,POINT (103.8937658 1.3932541)
5278670993,1.3931944,103.8936775,5278670993,crossing,,POINT (103.8936775 1.3931944)
5278670994,1.3932352,103.893557,5278670994,crossing,,POINT (103.893557 1.3932352)
2383954067,1.4162118,103.8939579,2383954067,traffic_signals,,POINT (103.8939579 1.4162118)
5278670995,1.3935842,103.8935242,5278670995,crossing,,POINT (103.8935242 1.3935842)
4702863509,1.4050911,103.9020745,4702863509,,,POINT (103.9020745 1.4050911)
4702863510,1.4056463,103.9028635,4702863510,,,POINT (103.9028635 1.4056463)
4702863508,1.4055681,103.9023321,4702863508,,,POINT (103.9023321 1.4055681)
5278670996,1.3930774,103.8937926,5278670996,crossing,,POINT (103.8937926 1.3930774)
5278671000,1.3945226,103.8890277,5278671000,,,POINT (103.8890277 1.3945226)
242966683,1.3973043,103.8877618,242966683,traffic_signals,,POINT (103.8877618 1.3973043)
5278671003,1.394191,103.8889789,5278671003,,,POINT (103.8889789 1.394191)
5278671005,1.3918203,103.8866905,5278671005,crossing,,POINT (103.8866905 1.3918203)
242958494,1.3920505,103.9053021,242958494,traffic_signals,,POINT (103.9053021 1.3920505)
242958495,1.3928265,103.9043072,242958495,traffic_signals,,POINT (103.9043072 1.3928265)
5278671004,1.391823,103.8868228,5278671004,crossing,,POINT (103.8868228 1.391823)
5278671006,1.3918571,103.8866248,5278671006,crossing,,POINT (103.8866248 1.3918571)
4702863522,1.4058548,103.9029779,4702863522,,,POINT (103.9029779 1.4058548)
1913644653,1.397913,103.8850743,1913644653,,,POINT (103.8850743 1.397913)
5278671007,1.3918577,103.8865184,5278671007,crossing,,POINT (103.8865184 1.3918577)
