,y,x,osmid,highway,ref,geometry
5433798993,1.4062663,103.9097271,5433798993,,,POINT (103.9097271 1.4062663)
5433798994,1.4062693,103.9097181,5433798994,,,POINT (103.9097181 1.4062693)
5433798995,1.4062467,103.9097107,5433798995,,,POINT (103.9097107 1.4062467)
5433799000,1.4061828,103.9097335,5433799000,,,POINT (103.9097335 1.4061828)
373096523,1.3953907,103.9168727,373096523,traffic_signals,,POINT (103.9168727 1.3953907)
373096527,1.3955063,103.9167131,373096527,traffic_signals,,POINT (103.9167131 1.3955063)
373096533,1.3982171,103.9129423,373096533,traffic_signals,,POINT (103.9129423 1.3982171)
5433799007,1.4062761,103.9095619,5433799007,,,POINT (103.9095619 1.4062761)
5433799008,1.4062556,103.9096249,5433799008,,,POINT (103.9096249 1.4062556)
6791757944,1.3935089,103.9001327,6791757944,,,POINT (103.9001327 1.3935089)
6791757945,1.3933322,103.9000407,6791757945,,,POINT (103.9000407 1.3933322)
5433799010,1.4063166,103.9095718,5433799010,,,POINT (103.9095718 1.4063166)
4702863508,1.4055681,103.9023321,4702863508,,,POINT (103.9023321 1.4055681)
4702863509,1.4050911,103.9020745,4702863509,,,POINT (103.9020745 1.4050911)
4702863510,1.4056463,103.9028635,4702863510,,,POINT (103.9028635 1.4056463)
4702863522,1.4058548,103.9029779,4702863522,,,POINT (103.9029779 1.4058548)
373096623,1.4009476,103.909135,373096623,traffic_signals,,POINT (103.909135 1.4009476)
373096628,1.4028932,103.9063671,373096628,traffic_signals,,POINT (103.9063671 1.4028932)
373096632,1.4029677,103.9062514,373096632,traffic_signals,,POINT (103.9062514 1.4029677)
6589382845,1.4057547,103.9045437,6589382845,,,POINT (103.9045437 1.4057547)
4003659964,1.4018947,103.8954631,4003659964,,,POINT (103.8954631 1.4018947)
373096643,1.4044437,103.9039067,373096643,traffic_signals,,POINT (103.9039067 1.4044437)
373096660,1.4061432,103.900832,373096660,traffic_signals,,POINT (103.900832 1.4061432)
5270601985,1.3892623,103.9066912,5270601985,,,POINT (103.9066912 1.3892623)
5270601987,1.3885479,103.9077116,5270601987,,,POINT (103.9077116 1.3885479)
5270601995,1.3891204,103.9092753,5270601995,,,POINT (103.9092753 1.3891204)
5270601999,1.3903685,103.9086333,5270601999,,,POINT (103.9086333 1.3903685)
5270602004,1.3916982,103.9073467,5270602004,,,POINT (103.9073467 1.3916982)
5270602006,1.3920246,103.9070254,5270602006,,,POINT (103.9070254 1.3920246)
369164641,1.391069,103.9014304,369164641,traffic_signals,,POINT (103.9014304 1.391069)
369164647,1.391069,103.9015477,369164647,traffic_signals,,POINT (103.9015477 1.391069)
4604821890,1.4110639,103.9000583,4604821890,,,POINT (103.9000583 1.4110639)
4604821891,1.4103577,103.8996931,4604821891,,,POINT (103.8996931 1.4103577)
3782017412,1.4157602,103.915171,3782017412,,,POINT (103.915171 1.4157602)
4604821896,1.4111178,103.8998682,4604821896,,,POINT (103.8998682 1.4111178)
4604821900,1.4109642,103.8993976,4604821900,,,POINT (103.8993976 1.4109642)
4604821901,1.4108386,103.8993986,4604821901,,,POINT (103.8993986 1.4108386)
4604821907,1.4104325,103.8994801,4604821907,,,POINT (103.8994801 1.4104325)
3782017423,1.4163556,103.9150262,3782017423,,,POINT (103.9150262 1.4163556)
5661524382,1.3927289,103.9198256,5661524382,,,POINT (103.9198256 1.3927289)
369164759,1.3909628,103.9019322,369164759,,,POINT (103.9019322 1.3909628)
368902639,1.4028509,103.9062096,368902639,traffic_signals,,POINT (103.9062096 1.4028509)
373096980,1.4035157,103.9108485,373096980,traffic_signals,,POINT (103.9108485 1.4035157)
373096988,1.4010187,103.9090336,373096988,traffic_signals,,POINT (103.9090336 1.4010187)
373096990,1.4009033,103.908953,373096990,traffic_signals,,POINT (103.908953 1.4009033)
368902719,1.39991,103.9049553,368902719,traffic_signals,,POINT (103.9049553 1.39991)
5925962396,1.3921266,103.9039935,5925962396,,,POINT (103.9039935 1.3921266)
5917835964,1.3972766,103.8968873,5917835964,,,POINT (103.8968873 1.3972766)
5917835968,1.3974016,103.8966523,5917835968,,,POINT (103.8966523 1.3974016)
5217190601,1.3937776,103.9170198,5217190601,,,POINT (103.9170198 1.3937776)
5217190602,1.3936355,103.9172281,5217190602,,,POINT (103.9172281 1.3936355)
6591808246,1.4057017,103.901942,6591808246,,,POINT (103.901942 1.4057017)
6591808247,1.4055832,103.9018724,6591808247,,,POINT (103.9018724 1.4055832)
6591808249,1.4058354,103.9014307,6591808249,,,POINT (103.9014307 1.4058354)
4003660548,1.4027189,103.8910207,4003660548,traffic_signals,,POINT (103.8910207 1.4027189)
6680740676,1.4068658,103.9217195,6680740676,,,POINT (103.9217195 1.4068658)
6680740683,1.4100191,103.9175836,6680740683,,,POINT (103.9175836 1.4100191)
369165131,1.3911259,103.9002789,369165131,,,POINT (103.9002789 1.3911259)
4003660647,1.4030722,103.8958148,4003660647,,,POINT (103.8958148 1.4030722)
4003660648,1.4030881,103.8957072,4003660648,,,POINT (103.8957072 1.4030881)
4003660653,1.40311,103.8955424,4003660653,,,POINT (103.8955424 1.40311)
4003660659,1.4032311,103.8957283,4003660659,,,POINT (103.8957283 1.4032311)
4003660661,1.4032554,103.8955639,4003660661,,,POINT (103.8955639 1.4032554)
369165233,1.3899805,103.9043976,369165233,traffic_signals,,POINT (103.9043976 1.3899805)
369165261,1.3885868,103.9061196,369165261,traffic_signals,,POINT (103.9061196 1.3885868)
4433708155,1.3915398,103.8971028,4433708155,,,POINT (103.8971028 1.3915398)
4433708160,1.3910947,103.8975212,4433708160,,,POINT (103.8975212 1.3910947)
4433708161,1.3915751,103.8970086,4433708161,,,POINT (103.8970086 1.3915751)
4433708162,1.391634,103.8968422,4433708162,traffic_signals,,POINT (103.8968422 1.391634)
4433708165,1.3912216,103.8975647,4433708165,,,POINT (103.8975647 1.3912216)
4433708166,1.3911692,103.8977071,4433708166,traffic_signals,,POINT (103.8977071 1.3911692)
4433708168,1.3910448,103.8976622,4433708168,traffic_signals,,POINT (103.8976622 1.3910448)
5177279650,1.4026469,103.9038204,5177279650,,,POINT (103.9038204 1.4026469)
5177279656,1.4023108,103.9072297,5177279656,,,POINT (103.9072297 1.4023108)
5177279657,1.4024232,103.9073076,5177279657,,,POINT (103.9073076 1.4024232)
5177279658,1.4024687,103.9072441,5177279658,,,POINT (103.9072441 1.4024687)
5177279659,1.4023613,103.9071575,5177279659,,,POINT (103.9071575 1.4023613)
5177279660,1.4022089,103.907607,5177279660,,,POINT (103.907607 1.4022089)
5177279668,1.4036741,103.9086397,5177279668,,,POINT (103.9086397 1.4036741)
5177279669,1.4028802,103.908157,5177279669,,,POINT (103.908157 1.4028802)
5177279670,1.4037785,103.9068835,5177279670,,,POINT (103.9068835 1.4037785)
5177279672,1.4046234,103.9073154,5177279672,,,POINT (103.9073154 1.4046234)
5177279697,1.4047854,103.8991167,5177279697,,,POINT (103.8991167 1.4047854)
5177279707,1.4058036,103.8991109,5177279707,,,POINT (103.8991109 1.4058036)
5177279709,1.406141,103.8992239,5177279709,,,POINT (103.8992239 1.406141)
2019165453,1.4041775,103.9024009,2019165453,,,POINT (103.9024009 1.4041775)
2019165454,1.4043362,103.9021154,2019165454,,,POINT (103.9021154 1.4043362)
3782025044,1.4105653,103.9239791,3782025044,,,POINT (103.9239791 1.4105653)
3782025045,1.4106939,103.9237648,3782025045,,,POINT (103.9237648 1.4106939)
3782025046,1.4107551,103.9237096,3782025046,,,POINT (103.9237096 1.4107551)
3782025047,1.4108429,103.923677,3782025047,,,POINT (103.923677 1.4108429)
4003661269,1.4131314,103.8989301,4003661269,,,POINT (103.8989301 1.4131314)
4004972061,1.4012331,103.8908959,4004972061,,,POINT (103.8908959 1.4012331)
4004972062,1.4012728,103.8904411,4004972062,,,POINT (103.8904411 1.4012728)
5006624292,1.3936438,103.9239186,5006624292,,,POINT (103.9239186 1.3936438)
4004972070,1.4014441,103.8950046,4004972070,,,POINT (103.8950046 1.4014441)
4004972083,1.4017014,103.8935581,4004972083,,,POINT (103.8935581 1.4017014)
4004972127,1.3999013,103.8989282,4004972127,,,POINT (103.8989282 1.3999013)
4004972128,1.399907,103.8983845,4004972128,,,POINT (103.8983845 1.399907)
4004972129,1.3999418,103.8983966,4004972129,,,POINT (103.8983966 1.3999418)
4004972131,1.4005696,103.8996128,4004972131,,,POINT (103.8996128 1.4005696)
4004972133,1.4008268,103.8946475,4004972133,,,POINT (103.8946475 1.4008268)
4004972141,1.4009118,103.8946423,4004972141,,,POINT (103.8946423 1.4009118)
4004972142,1.4008786,103.8939425,4004972142,,,POINT (103.8939425 1.4008786)
4004972143,1.4009067,103.8937659,4004972143,,,POINT (103.8937659 1.4009067)
4004972144,1.4009621,103.8939472,4004972144,,,POINT (103.8939472 1.4009621)
4004972145,1.4009926,103.898082,4004972145,,,POINT (103.898082 1.4009926)
4004972147,1.4011802,103.8981428,4004972147,,,POINT (103.8981428 1.4011802)
5678944660,1.4037591,103.8988657,5678944660,,,POINT (103.8988657 1.4037591)
5177295493,1.3934943,103.9002556,5177295493,,,POINT (103.9002556 1.3934943)
5678944683,1.4038454,103.8991671,5678944683,,,POINT (103.8991671 1.4038454)
5256644347,1.3869528,103.9236903,5256644347,,,POINT (103.9236903 1.3869528)
5256644348,1.3869589,103.923356,5256644348,,,POINT (103.923356 1.3869589)
5282596670,1.3882203,103.8917147,5282596670,,,POINT (103.8917147 1.3882203)
5361698709,1.4011439,103.8981317,5361698709,,,POINT (103.8981317 1.4011439)
5361698715,1.4012659,103.8989801,5361698715,,,POINT (103.8989801 1.4012659)
5361698718,1.4010498,103.8983925,5361698718,,,POINT (103.8983925 1.4010498)
4598898420,1.3933249,103.9036578,4598898420,,,POINT (103.9036578 1.3933249)
1754662975,1.4093406,103.8965681,1754662975,,,POINT (103.8965681 1.4093406)
369166424,1.4063536,103.8974777,369166424,traffic_signals,,POINT (103.8974777 1.4063536)
4427352168,1.3995537,103.9049717,4427352168,,,POINT (103.9049717 1.3995537)
4427352169,1.399602,103.9048079,4427352169,,,POINT (103.9048079 1.399602)
4427352175,1.3998295,103.9054033,4427352175,,,POINT (103.9054033 1.3998295)
4427352178,1.4000692,103.9046394,4427352178,,,POINT (103.9046394 1.4000692)
4427352180,1.4002649,103.9052784,4427352180,,,POINT (103.9052784 1.4002649)
4427352182,1.4002637,103.9046828,4427352182,,,POINT (103.9046828 1.4002637)
4427352184,1.400437,103.9051848,4427352184,,,POINT (103.9051848 1.400437)
4427352185,1.4040922,103.9036825,4427352185,,,POINT (103.9036825 1.4040922)
4427352186,1.4041337,103.9036107,4427352186,,,POINT (103.9036107 1.4041337)
4427352188,1.4041728,103.9041064,4427352188,,,POINT (103.9041064 1.4041728)
369166473,1.4033917,103.8967028,369166473,traffic_signals,,POINT (103.8967028 1.4033917)
3782215876,1.4214217,103.9107805,3782215876,,,POINT (103.9107805 1.4214217)
3782215878,1.4214486,103.9106381,3782215878,,,POINT (103.9106381 1.4214486)
369166625,1.4004692,103.896094,369166625,traffic_signals,,POINT (103.896094 1.4004692)
4427352391,1.4043433,103.904112,4427352391,,,POINT (103.904112 1.4043433)
4427352394,1.4045121,103.9035255,4427352394,,,POINT (103.9035255 1.4045121)
4427352397,1.4046355,103.9035531,4427352397,,,POINT (103.9035531 1.4046355)
4427352399,1.4046882,103.9040443,4427352399,,,POINT (103.9040443 1.4046882)
4427352400,1.4047209,103.9039627,4427352400,,,POINT (103.9039627 1.4047209)
368904530,1.4212297,103.9106387,368904530,turning_circle,,POINT (103.9106387 1.4212297)
