,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,landuse,service,access,area,bridge,ref,junction,width
0,5433798994,5433798993,0,563908854,False,1.055,"LINESTRING (103.9097181 1.406269299999996, 103.9097271 1.406266299999993)",,,,,,,,,,,,,
1,5433798994,5433798993,1,563908858,False,1.055,"LINESTRING (103.9097181 1.406269299999996, 103.9097271 1.406266299999993)",,,,,,,,,,,,,
2,5433798995,5433798994,0,563908854,False,2.644,"LINESTRING (103.9097107 1.406246699999999, 103.9097181 1.406269299999996)",,,,,,,,,,,,,
3,5433798995,5433798994,1,563908858,False,2.644,"LINESTRING (103.9097107 1.406246699999999, 103.9097181 1.406269299999996)",,,,,,,,,,,,,
4,373096523,369175567,0,74477406,True,16.394,"LINESTRING (103.9168727 1.395390699999992, 103.9167883 1.395269799999996)",Punggol East,primary,50,,,,,,,,,,
5,373096523,6192623093,0,682831299,True,9.809,"LINESTRING (103.9168727 1.395390699999992, 103.9169447 1.395339699999987)",Punggol Central,tertiary,60,3,,,,,,,,,
6,373096527,373096523,0,534636066,True,21.909,"LINESTRING (103.9167131 1.395506299999986, 103.9168727 1.395390699999992)",Punggol Central,tertiary,60,,,,,,,,,,
7,373096527,2274874105,0,166527473,True,34.565,"LINESTRING (103.9167131 1.395506299999986, 103.9168995 1.395755099999996)",Punggol East,primary,50,3,,,,,,,,,
8,373096533,411102684,0,534638684,True,11.633,"LINESTRING (103.9129423 1.39821709999999, 103.913025 1.398152999999998)",Punggol Central,tertiary,60,,,,,,,,,,
9,373096533,2274876548,0,635693449,True,37.766,"LINESTRING (103.9129423 1.39821709999999, 103.9131396 1.398493599999981)",Edgedale Plains,residential,40,2,,,,,,,,,
10,5433799008,5433799007,0,563908854,False,7.365,"LINESTRING (103.9096249 1.406255599999996, 103.9095619 1.406276099999976)",,,,,,,,,,,,,
11,5433799008,5433799007,1,563908858,False,7.365,"LINESTRING (103.9096249 1.406255599999996, 103.9095619 1.406276099999976)",,,,,,,,,,,,,
12,6791757945,6791757944,0,661626786,False,28.804,"LINESTRING (103.9000407 1.39333219999999, 103.9000972 1.393342699999977, 103.9001217 1.39335539999999, 103.9001674 1.393447999999985, 103.9001647 1.393459999999988, 103.9001327 1.393508899999981)",,footway,,,,,,,,,,,
13,4702863509,4702863508,0,"[476843579, 476843581, 476843583]",False,60.278999999999996,"LINESTRING (103.9020745 1.405091099999991, 103.902095 1.405127399999988, 103.9023139 1.405531600000002, 103.9023321 1.40556809999998)",,"['footway', 'steps']",,,yes,,,,,,,,
14,4702863522,4702863510,0,476843587,False,26.443,"LINESTRING (103.9029779 1.405854799999993, 103.9028635 1.405646299999993)",,footway,,,,,,,,,,,
15,373096623,2274880832,0,75138967,True,32.476,"LINESTRING (103.909135 1.400947599999999, 103.9093751 1.400781199999988)",Punggol Central,tertiary,60,3,,,,,,,,,
16,373096623,368898713,0,75138968,True,15.644,"LINESTRING (103.909135 1.400947599999999, 103.9090579 1.40082989999999)",Edgefield Plains,residential,40,,,,,,,,,,
17,373096628,368899634,0,74662287,True,13.263,"LINESTRING (103.9063671 1.402893199999986, 103.9063242 1.402781899999983)",Punggol Road,secondary,60,3,,,,,,,,,
18,373096628,2274882386,0,582412256,True,28.841,"LINESTRING (103.9063671 1.402893199999986, 103.9065893 1.402759300000005)",Punggol Central,tertiary,60,3,,,,,,,,,
19,373096632,373096628,0,74962084,True,15.298,"LINESTRING (103.9062514 1.402967699999999, 103.9063671 1.402893199999986)",Punggol Central,tertiary,60,4,,,,,,,,,
20,373096632,1167575172,0,582412258,True,49.596,"LINESTRING (103.9062514 1.402967699999999, 103.9064076 1.403385499999986)",Punggol Road,secondary,60,3,,,,,,,,,
21,6589382845,2274884761,0,"[701649041, 701649042, 701649043, 620219323]",True,162.05599999999998,"LINESTRING (103.9045437 1.405754699999985, 103.9049453 1.406460899999991, 103.9050044 1.406564699999989, 103.9051616 1.406854299999992, 103.905242 1.407033199999982)",Punggol Place,residential,40,"['3', '2']",,,,,,,,,
22,4003659964,4002523403,0,"[397579049, 512918107, 620537701]",True,98.49199999999999,"LINESTRING (103.8954631 1.40189469999999, 103.8954398 1.401950899999992, 103.8954022 1.401997099999979, 103.8953473 1.402012699999986, 103.8951463 1.402046499999995, 103.8946471 1.40212069999999)",Sumang Lane,residential,50,"['1', '2']",,,,,,,,,
23,373096643,368899633,0,74953808,True,14.305,"LINESTRING (103.9039067 1.404443699999993, 103.9038354 1.404336599999979)",Punggol Place,residential,50,3,,,,,,,,,
24,373096643,4427352391,0,445282963,True,25.406,"LINESTRING (103.9039067 1.404443699999993, 103.904112 1.404343299999996)",Punggol Central,tertiary,60,3,,,,,,,,,
25,373096660,1167567948,0,500373597,True,14.869,"LINESTRING (103.900832 1.406143199999992, 103.9009545 1.40608949999998)",Punggol Central,tertiary,60,,,,,,,,,,
26,373096660,1167544116,0,582412261,True,33.317,"LINESTRING (103.900832 1.406143199999992, 103.9009379 1.406423499999974)",Punggol Walk,residential,50,2,,,,,,,,,
27,5270601985,4459074813,0,"[638254000, 627983196]",True,72.608,"LINESTRING (103.9066912 1.389262299999998, 103.9066074 1.389127599999989, 103.9062846 1.388753099999994)",Rivervale Drive,tertiary,50,"['4', '2']",,,,,,,,,
28,5270601987,6497953527,0,545321520,True,26.75,"LINESTRING (103.9077116 1.388547899999993, 103.9075466 1.388639299999989, 103.9075047 1.388670099999985)",Rivervale Crescent,residential,50,1,,,,,,,,,
29,5270601995,6497953525,0,545321522,True,166.58499999999998,"LINESTRING (103.9092753 1.389120399999987, 103.9091858 1.388991599999994, 103.9091293 1.388938399999987, 103.9090622 1.388889199999993, 103.9087323 1.388680699999985, 103.9084577 1.388537999999987, 103.9082791 1.388501399999977, 103.9080685 1.388481999999992, 103.9079819 1.388492999999982)",Rivervale Crescent,residential,50,1,,,,,,,,,
30,5270601999,7103996992,0,760458755,True,6.173,"LINESTRING (103.9086333 1.390368499999975, 103.9086795 1.39033769999999)",Rivervale Crescent,residential,50,1,,,,,,,,,
31,5270602004,9990000080,0,5270602004_9990000080,True,39.19190621868187,"LINESTRING (103.9073467 1.39169819999999, 103.9073014 1.391718699999987, 103.9070988973865 1.391943140400524)",Rivervale Crescent,residential,50,1,,,,,,,,,
32,5270602006,5921905736,0,627320303,True,34.494,"LINESTRING (103.9070254 1.392024599999988, 103.9068122 1.392249999999992)",Rivervale Crescent,residential,50,1,,,,,,,,,
33,5270602006,5270602006,0,117335023,False,770.431,"LINESTRING (103.9070254 1.392024599999988, 103.9079266 1.3910626, 103.9069503 1.390231399999998, 103.9067947 1.390622899999989, 103.9066123 1.390944599999982, 103.9055234 1.392129799999978, 103.9058613 1.392499899999998, 103.906033 1.392607099999992, 103.9062368 1.392639299999984, 103.9066298 1.392426499999984, 103.9067518 1.392360399999992, 103.9070254 1.392024599999988)",Rivervale Green,,,,,residential,,,,,,,
34,369164641,3063313410,0,175840054,True,32.578,"LINESTRING (103.9014304 1.39106899999999, 103.9013847 1.391358399999987)",Punggol Road,secondary,60,2,,,,,,,,,
35,369164641,369164647,0,175840059,True,13.039,"LINESTRING (103.9014304 1.39106899999999, 103.9015477 1.39106899999999)",Sengkang East Way,secondary,60,,,,,,,,,,
36,369164647,242950993,0,483239828,True,11.802,"LINESTRING (103.9015477 1.39106899999999, 103.9015774 1.390967099999982)",Punggol Road,secondary,60,,,,,,,,,,
37,369164647,3063312998,0,617971370,True,30.297,"LINESTRING (103.9015477 1.39106899999999, 103.9018202 1.391063899999996)",Sengkang East Way,secondary,60,2,,,,,,,,,
38,4604821890,1748996467,0,476138607,True,43.482,"LINESTRING (103.9000583 1.411063900000002, 103.8998795 1.410716100000001)",Punggol Way,secondary,60,4,,,,,,,,,
39,4604821890,6192558603,0,465523920,True,37.93600000000001,"LINESTRING (103.9000583 1.411063900000002, 103.9000395 1.410894900000004, 103.9000529 1.410776999999986, 103.9000703 1.410727499999985)",,secondary_link,50,1,,,,,,,,,
40,4604821891,4005059032,0,476138608,True,87.944,"LINESTRING (103.8996931 1.410357699999993, 103.8993367 1.409651600000005)",Punggol Way,secondary,60,3,,,,,,,,,
41,4604821896,5218788701,0,"[534630361, 620236891]",True,139.313,"LINESTRING (103.8998682 1.411117799999992, 103.9002076 1.411747799999986, 103.9004688 1.412217400000009)",Punggol Way,secondary,60,"['3', '4']",,,,,,,,,
42,4604821900,1167567993,0,582303292,True,37.307,"LINESTRING (103.8993976 1.410964199999998, 103.8996971 1.410812799999988)",Sumang Link,residential,50,3,,,,,,,,,
43,4604821900,6192558282,0,465523922,True,28.783,"LINESTRING (103.8993976 1.410964199999998, 103.8995894 1.410962499999986, 103.899656 1.410970799999985)",,secondary_link,50,1,,,,,,,,,
44,4604821901,4604820870,0,"[721661466, 387265171, 620225567]",True,125.033,"LINESTRING (103.8993986 1.410838599999985, 103.8989671 1.41102249999999, 103.8985983 1.411179399999985, 103.8983677 1.411288000000001)",Sumang Link,residential,50,"['3', '2']",,,,,,,,,
45,4604821907,4604821901,0,465523923,True,48.111999999999995,"LINESTRING (103.8994801 1.410432499999977, 103.8994935 1.41054549999999, 103.8994955 1.410615199999986, 103.8994821 1.410692299999985, 103.8994647 1.410750599999996, 103.8994298 1.410798899999985, 103.8993986 1.410838599999985)",,secondary_link,50,1,,,,,,,,,
46,4604821907,1167568001,0,166522987,True,38.07,"LINESTRING (103.8994801 1.410432499999977, 103.8996556 1.410726499999981)",Punggol Way,secondary,60,4,,,,,,,,,
47,369164759,242950993,0,160443487,True,39.443,"LINESTRING (103.9019322 1.390962799999984, 103.9015774 1.390967099999982)",Sengkang East Way,secondary,60,3,,,,,,,,,
48,369164759,3063308874,0,302094717,True,51.333,"LINESTRING (103.9019322 1.390962799999984, 103.9018384 1.390905099999993, 103.9017708 1.390830299999975, 103.9017153 1.390756199999991, 103.9016569 1.390609199999992)",,secondary_link,50,1,,,,,,,,,
49,368902639,373096632,0,74662283,True,13.794,"LINESTRING (103.9062096 1.402850899999995, 103.9062514 1.402967699999999)",Punggol Road,secondary,60,3,,,,,,,,,
50,368902639,2274882621,0,582412253,True,33.778,"LINESTRING (103.9062096 1.402850899999995, 103.9059567 1.403019299999984)",Punggol Central,tertiary,60,3,,,,,,,,,
51,373096980,395048536,0,383281852,True,22.067,"LINESTRING (103.9108485 1.403515699999991, 103.9109694 1.403673099999976)",Edgefield Plains,residential,40,,,,,,,,,,
52,373096980,2274883199,0,635691794,True,24.623,"LINESTRING (103.9108485 1.403515699999991, 103.9106667 1.403642199999977)",Punggol Drive,residential,50,2,,,,,,,,,
53,373096988,373096623,0,534638193,True,13.768,"LINESTRING (103.9090336 1.401018699999997, 103.909135 1.400947599999999)",Punggol Central,tertiary,60,,,,,,,,,,
54,373096988,2274881206,0,476166952,True,33.858,"LINESTRING (103.9090336 1.401018699999997, 103.9092274 1.40125359999999)",Edgefield Plains,residential,40,2,,,,,,,,,
55,373096990,373096988,0,75138965,True,15.65,"LINESTRING (103.908953 1.400903299999994, 103.9090336 1.401018699999997)",Edgefield Plains,residential,40,,,,,,,,,,
56,373096990,2274881112,0,75138966,True,28.304,"LINESTRING (103.908953 1.400903299999994, 103.9087462 1.401051800000004)",Punggol Central,tertiary,60,3,,,,,,,,,
57,368902719,411679990,0,174886184,True,19.349,"LINESTRING (103.9049553 1.399909999999995, 103.9050242 1.400069800000002)",Punggol Road,secondary,60,,,,,,,,,,
58,368902719,4427352178,0,582412285,True,39.326,"LINESTRING (103.9049553 1.399909999999995, 103.9046394 1.400069199999997)",Punggol Field,residential,50,2,,,,,,,,,
59,5917835964,5177263012,0,626857819,True,4.298,"LINESTRING (103.8968873 1.397276599999987, 103.8969193 1.39729829999998)",Compassvale Crescent,residential,50,1,,,,,,,,,
60,5917835964,6774190239,0,626857821,True,20.523000000000003,"LINESTRING (103.8968873 1.397276599999987, 103.8968003 1.397317799999999, 103.8967685 1.397332400000002, 103.8967194 1.397353299999988)",,service,,1,,,,,,,,,
61,5917835968,6774190238,0,626857822,True,8.579,"LINESTRING (103.8966523 1.397401599999991, 103.8967013 1.397400299999985, 103.8967275 1.397389999999979)",,service,,1,,,,,,,,,
62,5217190602,5217190601,0,539116562,False,28.033,"LINESTRING (103.9172281 1.393635499999987, 103.9170198 1.3937776)",,service,,2,,,parking_aisle,,,,,,
63,5217190602,5217190602,0,539116563,True,141.849,"LINESTRING (103.9172281 1.393635499999987, 103.9171469 1.393514799999991, 103.9171425 1.393503699999993, 103.9171435 1.393496099999986, 103.9171486 1.39348849999999, 103.917205 1.393450899999982, 103.9172553 1.393417399999991, 103.917265 1.393415299999992, 103.9172731 1.393417399999991, 103.9172797 1.393422399999995, 103.9175282 1.393797899999988, 103.9175308 1.393807000000003, 103.9175323 1.393816199999988, 103.9175308 1.393823799999996, 103.9175272 1.393829399999986, 103.9174337 1.393897999999994, 103.9174251 1.393900999999985, 103.9174164 1.393902499999995, 103.9174108 1.393902, 103.9174058 1.393899499999985, 103.9174002 1.393891499999986, 103.9172281 1.393635499999987)",,service,,1,,,parking_aisle,,,,,,
64,6591808246,6591808249,0,"[701922626, 726606595, 701921367]",True,71.592,"LINESTRING (103.901942 1.405701699999989, 103.9019116 1.405719099999988, 103.9015225 1.405949999999988, 103.9015066 1.405950999999993, 103.9014957 1.405946599999995, 103.9014307 1.405835399999986)",,service,,1,,,,,,,,,
65,6591808247,6591808246,0,701921366,True,15.28,"LINESTRING (103.9018724 1.405583199999977, 103.901942 1.405701699999989)",,service,,2,,,,,,,,,
66,6591808247,6677230466,0,476389383,True,3.474,"LINESTRING (103.9018724 1.405583199999977, 103.9018993 1.40556729999999)",Punggol Central,tertiary,60,3,,,,,,,,,
67,6591808249,6591808247,0,"[711645501, 711645502]",True,56.544,"LINESTRING (103.9014307 1.405835399999986, 103.9017089 1.405676499999994, 103.9018724 1.405583199999977)",Punggol Central,tertiary,60,"['3', '4']",,,,,,,,,
68,4003660548,5015083903,0,512918100,True,14.128,"LINESTRING (103.8910207 1.402718899999998, 103.8911448 1.402691499999991)",Sumang Lane,residential,50,1,,,,,,,,,
69,4003660548,5178399567,0,582392182,True,22.043,"LINESTRING (103.8910207 1.402718899999998, 103.8910585 1.402913499999995)",Sumang Crescent,residential,50,2,,,,,,,,,
70,369165131,3063312269,0,"[627954130, 627950214]",True,82.896,"LINESTRING (103.9002789 1.391125899999995, 103.9007865 1.391101999999988, 103.9010239 1.391093399999987)",Sengkang East Way,secondary,60,"['4', '2']",,,,,,,,,
71,4003660648,4003660647,0,397579018,False,12.091,"LINESTRING (103.8957072 1.403088099999996, 103.8958148 1.403072199999972)",,,,,,,,,,,,,
72,4003660648,4003660647,1,397579019,False,12.091,"LINESTRING (103.8957072 1.403088099999996, 103.8958148 1.403072199999972)",,,,,,,,,,,,,
73,4003660653,4003660647,0,397579019,False,216.02800000000005,"LINESTRING (103.8955424 1.403109999999987, 103.8949361 1.403199899999984, 103.8949601 1.403363399999994, 103.8949872 1.403385299999985, 103.8950174 1.403391499999993, 103.8958777 1.403250899999984, 103.8958538 1.403064499999992, 103.8958148 1.403072199999972)",,,,,,,,,,,,,
74,4003660659,4003660648,0,397579018,False,16.073,"LINESTRING (103.8957283 1.403231099999993, 103.8957072 1.403088099999996)",,,,,,,,,,,,,
75,4003660659,4003660648,1,397579019,False,16.073,"LINESTRING (103.8957283 1.403231099999993, 103.8957072 1.403088099999996)",,,,,,,,,,,,,
76,4003660661,4003660653,0,397579018,False,16.343,"LINESTRING (103.8955639 1.403255400000002, 103.8955424 1.403109999999987)",,,,,,,,,,,,,
77,4003660661,4003660653,1,397579019,False,16.343,"LINESTRING (103.8955639 1.403255400000002, 103.8955424 1.403109999999987)",,,,,,,,,,,,,
78,4003660661,4003660659,0,397579018,False,18.474,"LINESTRING (103.8955639 1.403255400000002, 103.8957283 1.403231099999993)",,,,,,,,,,,,,
