,osmid,geometry,x,y,highway,ref
5433798993,5433798993,POINT (103.9097271 1.406266299999993),103.9097271,1.4062663,,
5433798994,5433798994,POINT (103.9097181 1.406269299999996),103.9097181,1.4062693,,
5433798995,5433798995,POINT (103.9097107 1.406246699999999),103.9097107,1.4062467,,
5433799000,5433799000,POINT (103.9097335 1.406182799999988),103.9097335,1.4061828,,
373096523,373096523,POINT (103.9168727 1.395390699999992),103.9168727,1.3953907,traffic_signals,
373096527,373096527,POINT (103.9167131 1.395506299999986),103.9167131,1.3955063,traffic_signals,
373096533,373096533,POINT (103.9129423 1.39821709999999),103.9129423,1.3982171,traffic_signals,
5433799007,5433799007,POINT (103.9095619 1.406276099999976),103.9095619,1.4062761,,
5433799008,5433799008,POINT (103.9096249 1.406255599999996),103.9096249,1.4062556,,
6791757944,6791757944,POINT (103.9001327 1.393508899999981),103.9001327,1.3935089,,
6791757945,6791757945,POINT (103.9000407 1.39333219999999),103.9000407,1.3933322,,
5433799010,5433799010,POINT (103.9095718 1.406316599999987),103.9095718,1.4063166,,
4702863508,4702863508,POINT (103.9023321 1.40556809999998),103.9023321,1.4055681,,
4702863509,4702863509,POINT (103.9020745 1.405091099999991),103.9020745,1.4050911,,
4702863510,4702863510,POINT (103.9028635 1.405646299999993),103.9028635,1.4056463,,
4702863522,4702863522,POINT (103.9029779 1.405854799999993),103.9029779,1.4058548,,
373096623,373096623,POINT (103.909135 1.400947599999999),103.909135,1.4009476,traffic_signals,
373096628,373096628,POINT (103.9063671 1.402893199999986),103.9063671,1.4028932,traffic_signals,
373096632,373096632,POINT (103.9062514 1.402967699999999),103.9062514,1.4029677,traffic_signals,
6589382845,6589382845,POINT (103.9045437 1.405754699999985),103.9045437,1.4057547,,
4003659964,4003659964,POINT (103.8954631 1.40189469999999),103.8954631,1.4018947,,
373096643,373096643,POINT (103.9039067 1.404443699999993),103.9039067,1.4044437,traffic_signals,
373096660,373096660,POINT (103.900832 1.406143199999992),103.900832,1.4061432,traffic_signals,
5270601985,5270601985,POINT (103.9066912 1.389262299999998),103.9066912,1.3892623,,
5270601987,5270601987,POINT (103.9077116 1.388547899999993),103.9077116,1.3885479,,
5270601995,5270601995,POINT (103.9092753 1.389120399999987),103.9092753,1.3891204,,
5270601999,5270601999,POINT (103.9086333 1.390368499999975),103.9086333,1.3903685,,
5270602004,5270602004,POINT (103.9073467 1.39169819999999),103.9073467,1.3916982,,
5270602006,5270602006,POINT (103.9070254 1.392024599999988),103.9070254,1.3920246,,
369164641,369164641,POINT (103.9014304 1.39106899999999),103.9014304,1.391069,traffic_signals,
369164647,369164647,POINT (103.9015477 1.39106899999999),103.9015477,1.391069,traffic_signals,
4604821890,4604821890,POINT (103.9000583 1.411063900000002),103.9000583,1.4110639,,
4604821891,4604821891,POINT (103.8996931 1.410357699999993),103.8996931,1.4103577,,
3782017412,3782017412,POINT (103.915171 1.415760199999983),103.915171,1.4157602,,
4604821896,4604821896,POINT (103.8998682 1.411117799999992),103.8998682,1.4111178,,
4604821900,4604821900,POINT (103.8993976 1.410964199999998),103.8993976,1.4109642,,
4604821901,4604821901,POINT (103.8993986 1.410838599999985),103.8993986,1.4108386,,
4604821907,4604821907,POINT (103.8994801 1.410432499999977),103.8994801,1.4104325,,
3782017423,3782017423,POINT (103.9150262 1.416355599999991),103.9150262,1.4163556,,
5661524382,5661524382,POINT (103.9198256 1.392728899999974),103.9198256,1.3927289,,
369164759,369164759,POINT (103.9019322 1.390962799999984),103.9019322,1.3909628,,
368902639,368902639,POINT (103.9062096 1.402850899999995),103.9062096,1.4028509,traffic_signals,
373096980,373096980,POINT (103.9108485 1.403515699999991),103.9108485,1.4035157,traffic_signals,
373096988,373096988,POINT (103.9090336 1.401018699999997),103.9090336,1.4010187,traffic_signals,
373096990,373096990,POINT (103.908953 1.400903299999994),103.908953,1.4009033,traffic_signals,
368902719,368902719,POINT (103.9049553 1.399909999999995),103.9049553,1.39991,traffic_signals,
5925962396,5925962396,POINT (103.9039935 1.392126599999989),103.9039935,1.3921266,,
5917835964,5917835964,POINT (103.8968873 1.397276599999987),103.8968873,1.3972766,,
5917835968,5917835968,POINT (103.8966523 1.397401599999991),103.8966523,1.3974016,,
5217190601,5217190601,POINT (103.9170198 1.3937776),103.9170198,1.3937776,,
5217190602,5217190602,POINT (103.9172281 1.393635499999987),103.9172281,1.3936355,,
6591808246,6591808246,POINT (103.901942 1.405701699999989),103.901942,1.4057017,,
6591808247,6591808247,POINT (103.9018724 1.405583199999977),103.9018724,1.4055832,,
6591808249,6591808249,POINT (103.9014307 1.405835399999986),103.9014307,1.4058354,,
4003660548,4003660548,POINT (103.8910207 1.402718899999998),103.8910207,1.4027189,traffic_signals,
6680740676,6680740676,POINT (103.9217195 1.406865799999993),103.9217195,1.4068658,,
6680740683,6680740683,POINT (103.9175836 1.410019099999984),103.9175836,1.4100191,,
369165131,369165131,POINT (103.9002789 1.391125899999995),103.9002789,1.3911259,,
4003660647,4003660647,POINT (103.8958148 1.403072199999972),103.8958148,1.4030722,,
4003660648,4003660648,POINT (103.8957072 1.403088099999996),103.8957072,1.4030881,,
4003660653,4003660653,POINT (103.8955424 1.403109999999987),103.8955424,1.40311,,
4003660659,4003660659,POINT (103.8957283 1.403231099999993),103.8957283,1.4032311,,
4003660661,4003660661,POINT (103.8955639 1.403255400000002),103.8955639,1.4032554,,
369165233,369165233,POINT (103.9043976 1.389980499999996),103.9043976,1.3899805,traffic_signals,
369165261,369165261,POINT (103.9061196 1.388586799999989),103.9061196,1.3885868,traffic_signals,
4433708155,4433708155,POINT (103.8971028 1.391539800000004),103.8971028,1.3915398,,
4433708160,4433708160,POINT (103.8975212 1.391094699999999),103.8975212,1.3910947,,
4433708161,4433708161,POINT (103.8970086 1.39157509999998),103.8970086,1.3915751,,
4433708162,4433708162,POINT (103.8968422 1.391633999999987),103.8968422,1.391634,traffic_signals,
4433708165,4433708165,POINT (103.8975647 1.391221599999984),103.8975647,1.3912216,,
4433708166,4433708166,POINT (103.8977071 1.391169199999993),103.8977071,1.3911692,traffic_signals,
4433708168,4433708168,POINT (103.8976622 1.39104479999999),103.8976622,1.3910448,traffic_signals,
5177279650,5177279650,POINT (103.9038204 1.402646899999989),103.9038204,1.4026469,,
5177279656,5177279656,POINT (103.9072297 1.402310799999992),103.9072297,1.4023108,,
5177279657,5177279657,POINT (103.9073076 1.402423199999985),103.9073076,1.4024232,,
5177279658,5177279658,POINT (103.9072441 1.402468699999991),103.9072441,1.4024687,,
5177279659,5177279659,POINT (103.9071575 1.402361299999994),103.9071575,1.4023613,,
5177279660,5177279660,POINT (103.907607 1.402208899999994),103.907607,1.4022089,,
5177279668,5177279668,POINT (103.9086397 1.403674099999989),103.9086397,1.4036741,,
5177279669,5177279669,POINT (103.908157 1.402880199999981),103.908157,1.4028802,,
5177279670,5177279670,POINT (103.9068835 1.403778499999994),103.9068835,1.4037785,,
5177279672,5177279672,POINT (103.9073154 1.4046234),103.9073154,1.4046234,,
5177279697,5177279697,POINT (103.8991167 1.404785399999986),103.8991167,1.4047854,,
5177279707,5177279707,POINT (103.8991109 1.405803599999974),103.8991109,1.4058036,,
